eval_name,template_path,case_id,criterion,model_label,provider,model,pass,reason
"code-review-depth","/Users/coston/code/executant/src/prompts/eval-code-review.txt","async-race-condition","Response identifies a concurrency or race condition bug — not just style issues","claude/opus","claude","opus",true,"The response explicitly identifies a concurrency/race condition issue in Issue 4, describing how the busy-poll mechanism with no queue means all sleeping waiters race to grab a freed slot in arbitrary order, enabling starvation, and also proactively addresses the apparent TOCTOU race at the top, explaining why it is NOT actually a race condition due to JS single-threaded execution semantics."
"code-review-depth","/Users/coston/code/executant/src/prompts/eval-code-review.txt","async-race-condition","Response specifically identifies the check-then-act gap: the while-loop check and the `activeRequests++` increment are not atomic, allowing multiple callers to pass the check simultaneously before any of them increments","claude/opus","claude","opus",false,"The response explicitly labels the check-then-increment pattern a ""Non-issue"" and argues it is safe due to JavaScript's single-threaded event loop, directly contradicting the criterion which requires identifying it as a real gap where multiple callers can pass the check simultaneously before any increments."
"code-review-depth","/Users/coston/code/executant/src/prompts/eval-code-review.txt","async-race-condition","Response proposes a fix that closes the race — such as incrementing before the await, using a queue, or a mutex/semaphore pattern","claude/opus","claude","opus",true,"In Issue 4, the response explicitly proposes a FIFO waiter queue pattern (an acquire/release semaphore) that replaces the busy-poll, where `acquire()` increments synchronously on the fast path and the queued path increments synchronously on resume — a queue/semaphore fix that satisfies the criterion."
"code-review-depth","/Users/coston/code/executant/src/prompts/eval-code-review.txt","async-race-condition","Response does not flag the `while` loop pattern itself as wrong without identifying the atomicity issue as the specific root cause","claude/opus","claude","opus",true,"The response explicitly labels the while loop pattern a ""Non-issue (deliberately)"" and explains in detail that it is safe precisely because there is no await between the loop exit and the increment, preserving atomicity in single-threaded JavaScript — atomicity is identified as the specific root cause of correctness, not a bug."
"code-review-depth","/Users/coston/code/executant/src/prompts/eval-code-review.txt","sql-injection-vector","Response identifies the SQL injection vulnerability — user-supplied `name` from `req.query` is string-interpolated directly into the SQL query without parameterization","claude/opus","claude","opus",true,"The output explicitly identifies the SQL injection vulnerability in section #1, calling out the template literal `WHERE name LIKE '%${name}%'` where `name` from `req.query` is ""concatenated into the SQL string with no escaping or parameterization,"" and provides a concrete fix using parameterized queries."
"code-review-depth","/Users/coston/code/executant/src/prompts/eval-code-review.txt","sql-injection-vector","Response notes that `req.query.name` is not validated to be a plain string before use (Express types it as `string | string[] | ParsedQs | ParsedQs[]`)","claude/opus","claude","opus",true,"Section 2 explicitly addresses that `req.query` values are typed `string | string[] | ParsedQs | ParsedQs[]`, explains how array/object inputs bypass the `if (!name)` guard, and provides a fix using `typeof name !== 'string'` to validate it is a plain string before use."
"code-review-depth","/Users/coston/code/executant/src/prompts/eval-code-review.txt","sql-injection-vector","Response proposes parameterized queries or prepared statements as the fix — e.g., using `$1` placeholder with the value passed as a parameter","claude/opus","claude","opus",true,"Section #1 explicitly proposes parameterized queries with `?` placeholders and values passed as a separate array parameter, and notes the `$1`/`$2` syntax for pg drivers as an alternative."
"code-review-depth","/Users/coston/code/executant/src/prompts/eval-code-review.txt","sql-injection-vector","Response correctly identifies `safeLimit` (the `Math.min(Number(limit) || 10, 100)` pattern) as safe — it does not flag this as a vulnerability","claude/opus","claude","opus",false,"The response explicitly flags the `Math.min(Number(limit) || 10, 100)` pattern as a medium-severity issue (#5), arguing that a negative value like `-5` bypasses the `|| 10` fallback (because `-5` is truthy) and reaches the SQL query unclamped, rather than treating this pattern as safe."
"code-review-depth","/Users/coston/code/executant/src/prompts/eval-code-review.txt","memory-leak-closure","Response identifies the unbounded growth of `recentPayloads` — the array for each event grows without limit and has no eviction mechanism","claude/opus","claude","opus",true,"Issue #1 explicitly identifies that the per-event array in `recentPayloads` grows without bound, noting the inline comment admits ""No eviction — just keeps growing"" and that nothing enforces the documented 1000-entry cap."
"code-review-depth","/Users/coston/code/executant/src/prompts/eval-code-review.txt","memory-leak-closure","Response proposes a concrete fix for the memory leak — capping the array length (e.g., splice to keep only the last N entries) or using a circular buffer","claude/opus","claude","opus",true,"Finding #1 includes a concrete code fix using `splice(0, payloads.length - EventBus.MAX_PAYLOADS)` to trim the array to the last 1000 entries whenever it exceeds the cap, directly satisfying the criterion."
